Gene_Symbol	Chromosome	 Start_coordinate	End_coordinate	Strand	Count	RPKM
47.11	chrALTS_NT_187636	115871	130199	+	0	0
47.11	chrALTS_NT_187637	71380	85883	+	0	0
47.11	chrALTS_NT_187639	71439	85942	+	0	0
47.11	chrALTS_NT_187640	115859	130358	+	0	0
47.11	chrALTS_NT_187641	70899	85414	+	0	0
47.11	chrALTS_NT_187643	71425	85926	+	0	0
47.11	chrALTS_NT_187645	71328	85584	+	0	0
47.11	chrALTS_NT_187668	116012	130516	+	0	0
47.11	chrALTS_NT_187669	71329	85585	+	0	0
47.11	chrALTS_NT_187673	71438	85759	+	0	0
47.11	chrALTS_NT_187685	71372	85693	+	0	0
47.11	chrALTS_NT_187686	116099	130393	+	0	0
47.11	chrALTS_NT_187687	71449	85961	+	0	0
SEPT1	chr16	30378133	30395991	-	128	1.14718
SEPT2	chr2	241315100	241354027	+	3016	13.68073
SEPT3	chr22	41976810	41998221	+	8153	60.24192
SEPT4	chr17	58520250	58540818	-	14260	67.73251
SEPT5	chr22	19714464	19724772	+	31492	212.42551
SEPT6	chrX	119615724	119695622	-	367	2.06315
SEPT7	chr7	35800932	35907105	+	3665	13.3317
SEPT8	chr5	132750817	132778012	-	3341	18.47958
SEPT9	chr17	77281410	77505792	+	14448	48.36179
SEPT9	chrALTS_NW_003315955	78784	79107	+	0	0
SEPT10	chr2	109542797	109614206	-	439	3.38055
SEPT11	chr4	76949703	77040154	+	2849	10.99297
SEPT12	chr16	4777614	4788521	-	8	0.13869
SEPT14	chr7	55793544	55862789	-	0	0
SEPT15	chr1	86862445	86914424	-	241	4.33117
103AS	chrALTS_NT_187636	139108	160584	+	0	0
103AS	chrALTS_NT_187637	104920	116108	+	0	0
103AS	chrALTS_NT_187638	91648	102557	+	0	0
103AS	chrALTS_NT_187639	104978	116168	+	0	0
103AS	chrALTS_NT_187640	149657	160552	+	0	0
103AS	chrALTS_NT_187641	104537	115613	+	0	0
103AS	chrALTS_NT_187642	91446	102544	+	0	0
103AS	chrALTS_NT_187643	105240	116147	+	0	0
103AS	chrALTS_NT_187644	91486	102562	+	0	0
103AS	chrALTS_NT_187645	105189	115903	+	0	0
103AS	chrALTS_NT_187668	149718	160745	+	0	0
103AS	chrALTS_NT_187669	105195	116111	+	0	0
103AS	chrALTS_NT_187670	91430	102506	+	0	0
103AS	chrALTS_NT_187673	105159	116141	+	0	0
103AS	chrALTS_NT_187684	135423	146406	+	0	0
103AS	chrALTS_NT_187685	105157	116106	+	0	0
103AS	chrALTS_NT_187686	149817	160840	+	0	0
103AS	chrALTS_NT_187687	105003	116151	+	0	0
103AS	chrALTS_NT_113949	91439	102515	+	0	0
183ActI	chrALTS_NT_187636	40126	54421	+	0	0
183ActI	chrALTS_NT_187644	40171	54479	+	0	0
183ActI	chrALTS_NT_187670	40100	54125	+	0	0
27K	chr5	132987652	132988110	-	284	23.38475
28H	chr7	84876554	84876956	+	0	0
354J5	chr6	108782126	108787053	-	296	2.27012
5-HT5B	chr2	117859427	117934944	+	0	0
71-7A3	chr5	37209364	37212381	+	479	5.99851
A10	chr2	90021567	90022185	+	0	0
A1BG	chr19	58345178	58362751	-	537	3.2894
A1BG-AS1	chr19	58351970	58355183	+	277	4.91504
A1CF	chr10	50799409	50885675	-	0	0
A20	chr2	89213417	89213928	-	0	0
A26	chr2	89159751	89160366	-	0	0
A2M	chr12	9067664	9116229	-	7124	42.17529
A2M-AS1	chr12	9065177	9068055	+	25	0.41405
A2ML1	chr12	8822472	8887001	+	267	1.41134
A2MP1	chr12	9228533	9275817	-	0	0
A30	chr2	89117336	89117844	-	0	0
A3GALT2	chr1	33306766	33321098	-	1	0.03694
A4GALT	chr22	42692117	42721301	-	424	3.51884
A4GNT	chr3	138123718	138132387	-	1	0.02134
A6ps1	chr17	29203426	29204474	-	159	5.7286
A-761H5.2	chr16	28700294	28701540	-	0	0
AA06	chr17	33529787	33533760	-	0	0
AAAS	chr12	53307456	53324864	-	932	8.33712
AACP	chr8	18370607	18371484	+	0	0
AACS	chr12	125065379	125143333	+	1254	3.02008
AACSP1	chr5	178764861	178818435	-	0	0
AADAC	chr3	151813974	151828488	+	0	0
AADACL2	chr3	151733916	151761339	+	5	0.03727
AADACL2	chrALTS_NW_003315913	155089	180671	+	0	0
AADACL3	chr1	12716115	12728759	+	2	0.01867
AADACL4	chr1	12644547	12667086	+	0	0
AADACP1	chr3	151770428	151784894	+	0	0
AADAT	chr4	170060222	170091699	-	242	3.14088
AAED1	chr9	96639577	96655317	-	6	0.0732
AAGAB	chr15	67200675	67255198	-	492	2.38151
AAK1	chr2	69457995	69643845	-	4307	6.14451
AAMDC	chr11	77821114	77900785	+	85	2.6883
AAMP	chr2	218264123	218270257	-	1936	24.91314
AANAT	chr17	76453351	76470117	+	12	0.21104
AAR2	chr20	36236417	36256941	+	729	9.26121
AARD	chr8	116938199	116944487	+	3	0.04701
AARS	chr16	70252295	70289555	-	10376	83.86533
AARS2	chr6	44298726	44313357	-	795	5.71553
AARSD1	chr17	42950526	42964498	-	457	8.75863
AASDH	chr4	56338284	56387698	-	569	4.38162
AASDHPPT	chr11	106077489	106098710	+	298	1.85853
AASS	chr7	122073544	122144290	-	1329	7.49123
AATF	chr17	36948875	37056871	+	2029	18.18036
AATF	chrALTS_NT_187614	1185240	1293236	+	0	0
AATK	chr17	81117295	81166077	-	3473	21.47927
AATK-AS1	chr17	81165507	81183164	+	10	0.23966
AB014085.4	chr6	30359278	30359911	-	0	0
AB014085.4	chrALTS_NT_167244	1688775	1689408	-	0	0
AB014085.4	chrALTS_NT_113891	1838958	1839591	-	0	0
AB014085.4	chrALTS_NT_167245	1615125	1615758	-	0	0
AB014085.4	chrALTS_NT_167246	1669513	1670146	-	0	0
AB014085.4	chrALTS_NT_167248	1614360	1614993	-	0	0
AB014085.4	chrALTS_NT_167249	1657735	1658368	-	0	0
AB023060.6	chr6	31140727	31140913	+	0	0
AB023060.6	chrALTS_NT_113891	2623117	2623303	+	0	0
AB023060.6	chrALTS_NT_167245	2400054	2400240	+	0	0
AB023060.6	chrALTS_NT_167246	2451244	2451430	+	0	0
AB023060.6	chrALTS_NT_167247	2484856	2485042	+	0	0
AB023060.6	chrALTS_NT_167248	2398759	2398945	+	0	0
ABAT	chr16	8674565	8784575	+	11514	44.65972
ABC35	chr7	117713753	117715901	+	0	0
ABCA1	chr9	104781002	104928246	-	3159	8.51647
ABCA10	chr17	69148007	69244846	-	169	0.79791
ABCA11P	chr4	425435	474209	-	164	1.98726
ABCA12	chr2	214931542	215138428	-	39	0.15519
ABCA13	chr7	48171458	48647496	+	10	0.01965
ABCA17P	chr16	2339150	2426699	+	2	0.0115
ABCA2	chr9	137007227	137028922	-	33988	111.5646
ABCA3	chr16	2275878	2340746	-	13127	65.08286
ABCA4	chr1	93992835	94121149	-	81	0.32402
ABCA5	chr17	69244311	69327244	-	536	1.58375
ABCA6	chr17	69078691	69143262	-	257	0.6801
ABCA7	chr19	1040101	1065572	+	757	3.39992
ABCA8	chr17	68867287	68955404	-	1475	4.87765
ABCA9	chr17	68974488	69062296	-	433	1.66344
ABCB1	chr7	87503633	87713323	-	1633	10.97212
